Data,Open,High,Low,Close
4/16/1991,100,100,100,100
4/23/1991,95.7,95.7,95.7,95.7
4/30/1991,93.5,93.5,93.5,93.5
5/14/1991,92.9,92.9,92.9,92.9
5/21/1991,95.5,95.5,95.5,95.5
5/28/1991,94.6,94.6,94.6,94.6
6/4/1991,95.8,95.8,95.8,95.8
6/11/1991,95,95,95,95
6/18/1991,85.7,85.7,85.7,85.7
6/25/1991,84.1,84.1,84.1,84.1
7/2/1991,88.1,88.1,88.1,88.1
7/9/1991,85.7,85.7,85.7,85.7
7/16/1991,82.5,82.5,82.5,82.5
7/23/1991,84.4,84.4,84.4,84.4
7/30/1991,81.6,81.6,81.6,81.6
8/6/1991,78.5,78.5,78.5,78.5
8/13/1991,76.3,76.3,76.3,76.3
8/20/1991,74.8,74.8,74.8,74.8
8/27/1991,73.1,73.1,73.1,73.1
9/3/1991,71.8,71.8,71.8,71.8
9/10/1991,70.7,70.7,70.7,70.7
9/17/1991,68.5,68.5,68.5,68.5
9/24/1991,67.2,67.2,67.2,67.2
10/1/1991,67.1,67.1,67.1,67.1
10/8/1991,70,70,70,70
10/15/1991,76.3,76.3,76.3,76.3
10/22/1991,83.5,83.5,83.5,83.5
10/29/1991,91.3,91.3,91.3,91.3
11/5/1991,97.9,97.9,97.9,97.9
11/12/1991,98.4,98.4,98.4,98.4
11/19/1991,88.9,88.9,88.9,88.9
11/26/1991,84.7,84.7,84.7,84.7
12/3/1991,90.7,90.7,90.7,90.7
12/10/1991,99.1,99.1,99.1,99.1
12/17/1991,91.7,91.7,91.7,91.7
12/31/1991,90.9,90.9,90.9,90.9
1/7/1992,96.4,96.4,96.4,96.4
1/9/1992,95.3,95.3,95.3,95.3
1/14/1992,92,92,92,92
1/16/1992,90.5,90.5,90.5,90.5
1/21/1992,93.7,93.7,93.7,93.7
1/23/1992,94.2,94.2,94.2,94.2
1/28/1992,92.3,92.3,92.3,92.3
1/30/1992,92.7,92.7,92.7,92.7
2/4/1992,92.5,92.5,92.5,92.5
2/6/1992,89.1,89.1,89.1,89.1
2/11/1992,92.6,92.6,92.6,92.6
2/13/1992,90.9,90.9,90.9,90.9
